POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
opposite GBPUSD      long                 Q5  1019.0 337.0   -1.204025     -1.704025     -0.060753     0.085378   0.723258  0.191364         -3.640658           -5.152528
opposite GBPUSD     short                 Q1   909.0 280.0    0.055798     -0.444202      0.013115     0.177118   0.674367  0.148515          0.181143           -1.442071
opposite GBPUSD     short                 Q2   981.0 309.0    0.363336     -0.136664      0.094136     0.163099   0.664628  0.172273          1.153503           -0.433875
opposite GBPUSD     short                 Q3   897.0 302.0    0.156335     -0.343665      0.024150     0.151616   0.676700  0.171683          0.464347           -1.020752
opposite GBPUSD     short                 Q4   980.0 316.0    0.474092     -0.025908      0.063322     0.141837   0.680612  0.177551          1.470286           -0.080347
opposite GBPUSD     short                 Q5   915.0 327.0   -0.216218     -0.716218     -0.003468     0.087432   0.681967  0.230601         -0.605013           -2.004096

BY ATR QUINTILE
  target   pair direction signal_atr_pips_q  trades  days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long                Q1   983.0 572.0    0.313363     -0.186637      0.075274     0.260427   0.668362  0.071211          0.538524           -0.320741
midpoint EURUSD      long                Q2   962.0 602.0    0.149345     -0.350655      0.011585     0.238046   0.650728  0.111227          0.238654           -0.560349
midpoint EURUSD      long                Q3   949.0 623.0    0.178375     -0.321625      0.023442     0.218124   0.639621  0.142255          0.271714           -0.489924
midpoint EURUSD      long                Q4   993.0 598.0   -0.354519     -0.854519     -0.030296     0.193353   0.636455  0.170191         -0.588691           -1.418959
midpoint EURUSD      long                Q5   926.0 443.0   -1.575876     -2.075876     -0.061678     0.161987   0.605832  0.232181         -3.294043           -4.339190
midpoint EURUSD     short                Q1   898.0 527.0    0.530438      0.030438      0.125617     0.271715   0.669265  0.059020          0.903858            0.051866
midpoint EURUSD     short                Q2   918.0 579.0    0.303825     -0.196175      0.038155     0.216776   0.665577  0.117647          0.481712           -0.311034
midpoint EURUSD     short                Q3   931.0 620.0    0.713908      0.213908      0.068183     0.221267   0.625134  0.153598          1.072014            0.321207
midpoint EURUSD     short                Q4   887.0 565.0    0.404996     -0.095004      0.034981     0.204059   0.593010  0.202931          0.635808           -0.149148
